date,trades_count,total_volume_usd,avg_execution_price,median_size_usd,win_rate,classification,value
2025-09-03,1422,10419697.99,806.5426083241913,1099.52,0.4409282700421941,,
2025-09-04,3967,28556806.47,13917.529131650617,888.6,0.43055205444920597,,
2025-10-01,819,6547449.68,31588.405895721615,500.18,0.5274725274725275,,
2025-10-02,889,3624958.44,34318.415525228345,635.37,0.4780652418447694,,
2025-10-03,2911,16811790.68,2998.767983825833,907.26,0.39745791824115423,,
2025-10-04,2127,28741953.29,39246.50578036154,999.97,0.5289139633286318,,
2025-11-01,283,1658098.71,30131.135140431095,455.96,0.24381625441696114,,
2025-11-02,848,2797544.17,19989.86707794811,674.3499999999999,0.21816037735849056,,
2025-11-03,3286,14016952.09,2341.3900885374314,580.875,0.18746195982958003,,
2025-11-04,1096,11319327.07,18896.037772089418,650.835,0.3357664233576642,,
2025-12-01,602,2258459.17,12893.280709518272,453.17499999999995,0.7840531561461794,,
2025-12-02,1031,4143974.54,20122.266069995152,923.74,0.4626576139670223,,
2025-12-03,3968,18618139.15,4000.6491172159776,828.9200000000001,0.5645161290322581,,
2025-12-04,2109,55914617.49,52901.409214082974,1229.78,0.2721669037458511,,
